time [s]	line [1]	track/ direction [1]	loc. (actual) [km]	loc. (target) [km]	way (actual) [km]	way (target) [km]	speed (actual) [km/h]	speed (target) [km/h]	voltage [V]	current [A]	track-earth voltage [V]	energy input [kWh]	energy balance [kWh]	usable braking energy [kWh]	used braking energy [kWh]	recuperated braking energy [kWh]	energy braking resistor [kWh]	state [1]	tractive effort (actual) [kN]	tractive effort (target) [kN]	line and running resistance [kN]	acceleration (actual) [m/(s*s)]	acceleration (target) [m/(s*s)]	desired speed [km/h]	train configuration [1]	utilization rate [%]	
3960.000000	      2.0000000	      2.0000000	      9.2158890	      9.2189999	      0.1241111	      0.1210000	     29.0000000	     29.0000000	    784.0288696	     82.0902023	      1.0347013	      1.0652462	      1.0652462	      0.0000000	      0.0000000	      0.0000000	      0.0000000	     50.0000000	      1.1074895	      0.0000000	      5.9365726	     -0.0833333	      0.0000000	     29.0000000	      2.0000000	    100.0000000	
3962.000000	      2.0000000	      2.0000000	      9.1999722	      9.2040005	      0.1400278	      0.1360000	     28.2999992	     28.2999992	    783.4952393	     72.4541321	     -1.4157796	      1.0967838	      1.0967838	      0.0000000	      0.0000000	      0.0000000	      0.0000000	     50.0000000	      0.2849206	      0.0000000	      5.9188514	     -0.0972222	      0.0000000	     28.2999992	      2.0000000	    100.0000000	
3964.000000	      2.0000000	      2.0000000	      9.1842499	      9.1890001	      0.1557500	      0.1510000	     28.2999992	     28.2999992	    782.9852295	    101.0018845	     -1.1897119	      1.1407187	      1.1407187	      0.0000000	      0.0000000	      0.0000000	      0.0000000	     30.0000000	      5.8985038	      0.0000000	      5.8985038	      0.0000000	      0.0000000	     28.2999992	      2.0000000	    100.0000000	
3966.000000	      2.0000000	      2.0000000	      9.1695004	      9.1770000	      0.1705000	      0.1630000	     24.7999992	     24.7999992	    795.5097656	   -126.7264175	     -2.9750397	      1.1407187	      1.0847120	      0.0710625	      0.0710623	      0.0560067	      0.0000003	     50.0000000	    -22.2711487	      0.0000000	      5.8985038	     -0.4861111	      0.0000000	     24.7999992	      2.0000000	    100.0000000	
3968.000000	      2.0000000	      2.0000000	      9.1571112	      9.1660004	      0.1828889	      0.1740000	     19.7999992	     19.7999992	    829.3537598	   -174.3414917	     -6.7121100	      1.1407187	      1.0043838	      0.1664531	      0.1664460	      0.1363349	      0.0000071	     50.0000000	    -34.4403038	      0.0000000	      5.8020577	     -0.6944444	      0.0000000	     19.7999992	      2.0000000	    100.0000000	
3970.000000	      2.0000000	      2.0000000	      9.1467781	      9.1580000	      0.1932222	      0.1820000	     17.3999996	     17.3999996	    841.1295166	    -31.5777702	     -6.8061466	      1.1407187	      0.9896277	      0.1962746	      0.1962577	      0.1510910	      0.0000169	     50.0000000	    -13.6367559	      0.0000000	      5.6795774	     -0.3333333	      0.0000000	     17.3999996	      2.0000000	    100.0000000	
3972.000000	      2.0000000	      2.0000000	      9.1371946	      9.1490002	      0.2028055	      0.1910000	     17.1000004	     17.1000004	    789.6674805	    103.2554703	     -1.8860269	      1.1860173	      1.0349263	      0.1962746	      0.1962577	      0.1510910	      0.0000169	     50.0000000	      4.8012934	      0.0000000	      7.2158351	     -0.0416667	      0.0000000	     17.1000004	      2.0000000	    100.0000000	
3974.000000	      2.0000000	      2.0000000	      9.1277504	      9.1400003	      0.2122500	      0.2000000	     16.8999996	     16.8999996	    787.2791748	    131.3684998	     -0.8812218	      1.2434750	      1.0923839	      0.1962746	      0.1962577	      0.1510910	      0.0000169	     50.0000000	      8.7855072	      0.0000000	     10.3952017	     -0.0277778	      0.0000000	     16.8999996	      2.0000000	    100.0000000	
3976.000000	      2.0000000	      2.0000000	      9.1182222	      9.1309996	      0.2217778	      0.2090000	     17.3999996	     17.3999996	    786.1607666	    163.8767090	     -0.8626260	      1.3150491	      1.1639580	      0.1962746	      0.1962577	      0.1510910	      0.0000169	     20.0000000	     18.0084858	      0.0000000	     13.9842501	      0.0694444	      0.0000000	     17.3999996	      2.0000000	    100.0000000	
3978.000000	      2.0000000	      2.0000000	      9.1085835	      9.1219997	      0.2314167	      0.2180000	     17.2999992	     17.2999992	    784.9674683	    190.7846832	     -1.2135928	      1.3982489	      1.2471579	      0.1962746	      0.1962577	      0.1510910	      0.0000169	     50.0000000	     16.7829800	      0.0000000	     17.5878277	     -0.0138889	      0.0000000	     17.2999992	      2.0000000	    100.0000000	
3980.000000	      2.0000000	      2.0000000	      9.0988331	      9.1129999	      0.2411667	      0.2270000	     17.7999992	     17.7999992	    785.0797119	    198.5934753	     -0.0833244	      1.4848665	      1.3337755	      0.1962746	      0.1962577	      0.1510910	      0.0000169	     20.0000000	     22.3435764	      0.0000000	     18.3193398	      0.0694444	      0.0000000	     17.7999992	      2.0000000	    100.0000000	
3982.000000	      2.0000000	      2.0000000	      9.0887775	      9.1029997	      0.2512222	      0.2370000	     18.3999996	     18.3999996	    784.1574097	    165.0596466	     -0.4677299	      1.5567735	      1.4056826	      0.1962746	      0.1962577	      0.1510910	      0.0000169	     20.0000000	     17.2203102	      0.0000000	     12.3912258	      0.0833333	      0.0000000	     18.3999996	      2.0000000	    100.0000000	
3984.000000	      2.0000000	      2.0000000	      9.0785275	      9.0930004	      0.2614722	      0.2470000	     18.5000000	     18.5000000	    786.0024414	     75.0415955	     -0.8099140	      1.5895419	      1.4384508	      0.1962746	      0.1962577	      0.1510910	      0.0000169	     20.0000000	      5.1946807	      0.0000000	      4.3898335	      0.0138889	      0.0000000	     18.5000000	      2.0000000	    100.0000000	
3986.000000	      2.0000000	      2.0000000	      9.0680838	      9.0830002	      0.2719167	      0.2570000	     19.1000004	     19.1000004	    770.6854858	    625.5169067	      1.6328403	      1.8573623	      1.7062713	      0.1962746	      0.1962577	      0.1510910	      0.0000169	     20.0000000	      0.8807667	      0.0000000	     -3.9483166	      0.0833333	      0.0000000	     19.1000004	      2.0000000	    100.0000000	
3988.000000	      2.0000000	      2.0000000	      9.0571108	      9.0719995	      0.2828889	      0.2680000	     20.3999996	     20.3999996	    784.8764648	     58.2562447	     -0.1891989	      1.8827645	      1.7316735	      0.1962746	      0.1962577	      0.1510910	      0.0000169	     20.0000000	      2.8428836	      0.0000000	     -7.6201305	      0.1805556	      0.0000000	     20.3999996	      2.0000000	    100.0000000	
3990.000000	      2.0000000	      2.0000000	      9.0457220	      9.0609999	      0.2942778	      0.2790000	     20.6000004	     20.6000004	    786.8819580	      4.2643509	     -1.3088590	      1.8846287	      1.7335377	      0.2094659	      0.2094491	      0.1510910	      0.0000168	     20.0000000	     -5.9559808	      0.0000000	     -7.5656753	      0.0277778	      0.0000000	     20.6000004	      2.0000000	    100.0000000	
